,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
3660,3660,Hullabalu,"Media and Entertainment, Education, Mobile","New York, New York, United States",4/1/12,11/9/15,2500000,Seed,6450000,Operating
3662,3662,MadKudu,"Information Technology, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence","Mountain View, California, United States",7/14/14,11/9/15,1250000,Seed,1368000,Operating
3664,3664,Spiro Technologies Inc,"Apps, Information Technology, Software, Sales and Marketing","Boston, Massachusetts, United States",6/1/14,11/10/15,1500000,Seed,1500000,Operating
3665,3665,Noteworth,"Information Technology, Health Care","Hoboken, New Jersey, United States",4/1/15,11/10/15,2000000,Seed,2100000,Operating
3666,3666,Spitball,"Apps, Software, Education, Internet Services, Mobile","New York, New York, United States",1/1/13,11/11/15,1100000,Seed,1100000,Operating
3668,3668,WriteLab,"Media and Entertainment, Content and Publishing","Berkeley, California, United States",12/28/13,11/12/15,2100000,Seed,2100000,Operating
3669,3669,Sentic Technologies Inc,"Media and Entertainment, Information Technology, Internet Services","Chicago, Illinois, United States",2/1/14,11/12/15,1780000,Seed,1780000,Operating
3671,3671,Cola,"Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",1/1/15,11/12/15,1300000,Seed,1300000,Was Acquired
3672,3672,Panamplify,"Science and Engineering, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence, Advertising","Dallas, Texas, United States",9/20/13,11/13/15,1100000,Seed,1100000,Operating
3678,3678,Skilljar,"Software, Education, Internet Services","Seattle, Washington, United States",1/1/13,11/16/15,2600000,Seed,3700000,Operating
3679,3679,Crowd Mics,"Media and Entertainment, Music and Audio, Events, Mobile","Mesa, Arizona, United States",2/24/14,11/16/15,1000000,Seed,2000000,Operating
3680,3680,Zipdrug,Health Care,"New York, New York, United States",2/1/15,11/17/15,2600000,Seed,2600000,Operating
3685,3685,Cinematique,"Media and Entertainment, Video","New York, New York, United States",11/1/12,11/19/15,3500000,Seed,5400000,Operating
3687,3687,"twoXAR, Incorporated","Biotechnology, Science and Engineering, Data and Analytics, Software, Health Care, Artificial Intelligence","Palo Alto, California, United States",1/1/14,11/19/15,3400000,Seed,4300000,Operating
3689,3689,PHHHOTOÎÂ,Internet Services,"Brooklyn, New York, United States",1/1/14,11/19/15,1500000,Seed,1725000,Operating
3696,3696,HealthSolutionsOne,Health Care,"Roswell, Georgia, United States",1/1/15,11/20/15,1000000,Seed,2000000,Operating
3697,3697,Circle Medical,Health Care,"San Francisco, California, United States",1/1/15,11/20/15,2900000,Seed,2900000,Operating
3711,3711,Acre Designs,"Sustainability, Real Estate","Mountain View, California, United States",12/11/15,11/21/15,1400000,Seed,1400000,Operating
3712,3712,Bonusly,"Software, Professional Services","Boulder, Colorado, United States",6/1/12,11/22/15,1000000,Seed,2000000,Operating
3714,3714,Zeplin,"Software, Design","San Francisco, California, United States",1/1/14,11/24/15,1200000,Seed,1340561,Operating
3718,3718,Top Flight Technologies,"Science and Engineering, Hardware, Software","Malden, Massachusetts, United States",1/1/14,11/27/15,1750000,Seed,1750000,Operating
3724,3724,CUPS,"Apps, Food and Beverage, Software, Mobile","New York, New York, United States",1/1/12,12/1/15,1000000,Seed,3340000,Operating
3725,3725,Hop,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Palo Alto, California, United States",1/1/13,12/1/15,120000,Seed,2320000,Operating
3728,3728,Stringr,"Media and Entertainment, Video, Content and Publishing","New York, New York, United States",1/1/13,12/1/15,1500000,Seed,1500000,Operating
3729,3729,Perfect Price,"Data and Analytics, Software","San Francisco, California, United States",12/1/13,12/1/15,2049999,Seed,2049999,Operating
3730,3730,panOpen,"Software, Education","New York, New York, United States",4/1/13,12/1/15,1500000,Seed,4300000,Operating
3731,3731,Hammerhead,"Hardware, Navigation and Mapping, Sustainability, Consumer Electronics, Transportation","New York, New York, United States",11/30/13,12/1/15,3000000,Seed,3170000,Operating
3734,3734,SKUR,"Natural Resources, Science and Engineering, Energy, Real Estate","Oakland, California, United States",2/1/14,12/1/15,2000000,Seed,2000000,Operating
3736,3736,Patch,"Health Care, Financial Services","San Francisco, California, United States",9/1/14,12/1/15,1850000,Seed,2175000,Operating
3751,3751,HelioCampus Inc.,,"Bethesda, Maryland, United States",12/1/15,12/1/15,10000000,Seed,10000000,Operating
3755,3755,Liquid Biotech,"Biotechnology, Science and Engineering, Health Care","Philadelphia, Pennsylvania, United States",1/1/12,12/2/15,2000000,Seed,2000000,Operating
3757,3757,Osaro,"Science and Engineering, Hardware, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",1/1/15,12/2/15,3300000,Seed,3300000,Operating
3758,3758,REscour,Real Estate,"Atlanta, Georgia, United States",1/1/13,12/3/15,1500000,Seed,2800000,Operating
3759,3759,"Staffly, Inc.","Hardware, Consumer Electronics, Professional Services, Mobile","San Francisco, California, United States",3/1/15,12/3/15,1250000,Seed,1250000,Operating
3761,3761,Rentberry,"Commerce and Shopping, Real Estate","San Francisco, California, United States",8/28/15,12/3/15,1165000,Seed,1165000,Operating
3762,3762,Joberate,Data and Analytics,"Bedford, New Hampshire, United States",5/1/14,12/4/15,1350000,Seed,1650000,Operating
3763,3763,TRAVO,Internet Services,"Torrance, California, United States",1/1/15,12/4/15,2400000,Seed,2400000,Operating
3764,3764,AlphaSheets,Financial Services,"Cambridge, Massachusetts, United States",4/15/15,12/5/15,5465000,Seed,5465000,Operating
3766,3766,Boatbound,"Commerce and Shopping, Sports","San Francisco, California, United States",1/1/12,12/7/15,725000,Seed,5035000,Was Acquired
3767,3767,Purse,"Software, Payments, Financial Services","San Francisco, California, United States",4/1/14,12/7/15,1000000,Seed,1300000,Operating
3768,3768,Porter & Sail,"Travel and Tourism, Media and Entertainment, Food and Beverage, Data and Analytics, Sales and Marketing, Mobile","New York, New York, United States",1/1/14,12/7/15,1227000,Seed,1838800,Operating
3769,3769,Karbon,Software,"San Francisco, California, United States",1/1/14,12/7/15,1500000,Seed,4800000,Operating
3774,3774,MetricStory,"Data and Analytics, Software, Artificial Intelligence","Seattle, Washington, United States",1/20/15,12/9/15,1450000,Seed,1568000,Operating
3775,3775,Slash,"Apps, Software, Internet Services","New York, New York, United States",7/25/15,12/9/15,1300000,Seed,1400000,Operating
3777,3777,CultureIQ,"Information Technology, Data and Analytics, Software, Design","New York, New York, United States",7/22/13,12/10/15,3000000,Seed,5200000,Operating
3781,3781,Sigma Funding,"Commerce and Shopping, Financial Services","Brooklyn, New York, United States",12/11/15,12/11/15,3000000,Seed,3000000,Operating
3782,3782,Affinity.is,"Apps, Software, Sales and Marketing, Advertising","Kirkland, Washington, United States",6/1/12,12/12/15,3500000,Seed,6500000,Operating
3783,3783,SketchDeck,"Software, Financial Services, Lending and Investments","Sunnyvale, California, United States",1/1/13,12/14/15,1700000,Seed,2200000,Operating
3787,3787,Arubixs,"Hardware, Consumer Electronics, Mobile","Berkeley, California, United States",5/11/13,12/15/15,1450000,Seed,1497409,Operating
3788,3788,Sundar,"Commerce and Shopping, Clothing and Apparel, Design","New York, United States, North America",1/1/14,12/15/15,1300000,Seed,1400000,Operating
3789,3789,Reveel App,"Apps, Hardware, Commerce and Shopping, Data and Analytics, Software, Sales and Marketing, Mobile, Advertising","San Francisco, California, United States",2/26/14,12/15/15,2000000,Seed,2220000,Operating
3790,3790,ProSky,"Professional Services, Education","Mountain View, California, United States",1/1/14,12/15/15,2300000,Seed,2675000,Operating
3795,3795,Springboard,"Software, Education","San Francisco, California, United States",1/1/13,12/16/15,1700000,Seed,1700000,Operating
3796,3796,Pinxter Inc.,"Platforms, Apps, Software, Sales and Marketing, Financial Services, Lending and Investments, Mobile","Alexandria, Virginia, United States",6/15/13,12/16/15,1000000,Seed,1750000,Operating
3798,3798,Verlocal,"Travel and Tourism, Commerce and Shopping, Internet Services","San Francisco, California, United States",1/1/14,12/16/15,2650000,Seed,2650001,Operating
3799,3799,Igloohome,Travel and Tourism,"Philadelphia, Pennsylvania, United States",1/1/15,12/16/15,1250000,Seed,1250000,Operating
3801,3801,121 Mobile,Sales and Marketing,"Princeton, New Jersey, United States",2/17/12,12/18/15,2200000,Seed,4000000,Operating
3802,3802,Likelihood,,"San Francisco, California, United States",1/1/15,12/18/15,5500000,Seed,5500000,Operating
3803,3803,Ares Materials,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Dallas, Texas, United States",1/1/14,12/20/15,1300000,Seed,1300000,Operating
3805,3805,Grapevine,"Media and Entertainment, Data and Analytics, Sales and Marketing, Consumer Goods, Video, Content and Publishing, Advertising","Cambridge, Massachusetts, United States",12/1/12,12/21/15,925000,Seed,2268000,Was Acquired
3808,3808,The Happy Home Company,"Consumer Electronics, Real Estate","San Jose, California, United States",1/1/14,12/22/15,3500000,Seed,3500000,Closed
3811,3811,Innervate,"Information Technology, Community and Lifestyle, Software, Sales and Marketing","Seattle, Washington, United States",4/29/15,12/22/15,1300000,Seed,1300000,Operating
3813,3813,AreaMetrics,"Data and Analytics, Software","Seattle, Washington, United States",10/1/14,12/23/15,2000000,Seed,2500000,Operating
3815,3815,Fama,"Media and Entertainment, Internet Services","Los Angeles, California, United States",1/1/15,12/23/15,1500000,Seed,1500000,Operating
3816,3816,Snapcard,"Software, Payments, Financial Services","San Francisco, California, United States",11/19/13,12/24/15,1386000,Seed,4446000,Operating
3817,3817,TurnToTech,"Software, Education","New York, New York, United States",7/15/13,12/25/15,1600000,Seed,1600000,Operating
3818,3818,IBillionaire,Financial Services,"New York, New York, United States",4/1/12,12/27/15,125000,Seed,2437413,Operating
3821,3821,WorkAmerica,"Commerce and Shopping, Professional Services","Washington, District of Columbia, United States",3/1/13,12/27/15,125000,Seed,1025000,Operating
3836,3836,DipJar,"Hardware, Software","New York, New York, United States",1/1/12,12/28/15,2400000,Seed,2820000,Operating
3837,3837,Andarta Medical,Health Care,"Edina, Missouri, United States",1/1/15,12/28/15,1900000,Seed,1900000,Operating
3842,3842,StarMobile,"Hardware, Information Technology, Software, Mobile","Atlanta, Georgia, United States",4/20/12,12/31/15,750000,Seed,6275000,Was Acquired
3844,3844,Atlas,Financial Services,"New York, New York, United States",1/1/14,12/31/15,1800000,Seed,2200000,Operating
3847,3847,PlusN (+n ),Software,"New York, New York, United States",1/1/12,1/1/16,500000,Seed,1700000,Operating
3848,3848,Regalii,"Commerce and Shopping, Software, Payments, Financial Services, Mobile","New York, New York, United States",3/1/12,1/1/16,4000000,Seed,6000000,Operating
3852,3852,Molecular Match,Health Care,"Houston, Texas, United States",1/1/14,1/1/16,1000000,Seed,6355500,Operating
3853,3853,Crowdskout,"Information Technology, Data and Analytics, Software, Sales and Marketing, Design","Washington, District of Columbia, United States",1/1/14,1/1/16,3000000,Seed,4300000,Operating
3854,3854,Station,"Media and Entertainment, Internet Services, Video","San Diego, California, United States",5/6/14,1/1/16,3000000,Seed,6000000,Operating
3855,3855,"PERI, Inc.","Hardware, Media and Entertainment, Consumer Electronics, Music and Audio, Internet Services","Irvine, California, United States",6/1/14,1/1/16,1100000,Seed,2300000,Operating
3859,3859,Swing Education,"Software, Professional Services, Education","San Mateo, California, United States",1/1/15,1/1/16,7840000,Seed,7840000,Operating
3878,3878,Beddr Sleep,,"Mountain View, California, United States",11/1/16,1/1/16,2300000,Seed,2300000,Operating
3880,3880,Appnoxious,"Apps, Software, Sales and Marketing, Mobile, Advertising","Chicago, Illinois, United States",1/1/16,1/1/16,1500000,Seed,1500000,Operating
3885,3885,Clear Software,"Apps, Software","Zionsville, Indiana, United States",1/1/12,1/4/16,1500000,Seed,2500000,Operating
3889,3889,WaiveCar,"Sales and Marketing, Transportation, Advertising","Santa Monica, California, United States",1/15/15,1/4/16,1500000,Seed,1500000,Operating
3894,3894,"Learn to Live, Inc.",Health Care,"Eden Prairie, Minnesota, United States",1/1/12,1/5/16,1000000,Seed,1120143,Operating
3900,3900,Green Gorilla,Health Care,"Los Angeles, California, United States",11/15/13,1/7/16,2500000,Seed,2500000,Operating
3902,3902,Tara Biosystems,"Biotechnology, Science and Engineering, Health Care","New York, New York, United States",1/1/14,1/8/16,2250000,Seed,2250000,Operating
3905,3905,nference,"Science and Engineering, Data and Analytics, Software, Health Care, Artificial Intelligence","Cambridge, Massachusetts, United States",1/1/13,1/10/16,3000000,Seed,3000000,Operating
3909,3909,Noodle Markets,"Commerce and Shopping, Software, Education","New York, New York, United States",1/1/15,1/11/16,3000000,Seed,3000000,Operating
3910,3910,Life.io,"Health Care, Financial Services","Philadelphia, Pennsylvania, United States",1/1/12,1/12/16,1500000,Seed,1900000,Operating
3911,3911,MovieLaLa,"Media and Entertainment, Video","San Francisco, California, United States",4/16/12,1/12/16,1400000,Seed,2150000,Operating
3912,3912,"Minkasu, Inc.","Apps, Commerce and Shopping, Software, Payments, Financial Services, Mobile","Milpitas, California, United States",3/1/14,1/12/16,1000000,Seed,1750000,Operating
3914,3914,VeryApt,Real Estate,"Philadelphia, Pennsylvania, United States",11/14/13,1/13/16,995000,Seed,1265000,Operating
3915,3915,MyCrowd,Software,"Corte Madera, California, United States",3/6/13,1/13/16,1250000,Seed,1400000,Operating
3916,3916,Moltin,Commerce and Shopping,"Mountain View, California, United States",4/1/13,1/13/16,2000000,Seed,2321891,Operating
